name,study,ve_mean,ve_sd,n_study_mean,nsam,pvac,pflu,ve,prisk,pnonflu,sens_vac,spec_vac,sens_flu,spec_flu,init_seed,nsim
vary-pflu,Case control,0.477834922,0.189583443,10000,10000,0.5,0.005,0.5,1,0.1,1,1,1,1,20191007,100000
vary-pflu,Test negative,0.475427045,0.19333021,1037.52115,10000,0.5,0.005,0.5,1,0.1,1,1,1,1,20191007,100000
vary-pflu,Case control,0.491772416,0.12792445,10000,10000,0.5,0.01,0.5,1,0.1,1,1,1,1,20291007,100000
vary-pflu,Test negative,0.488391312,0.132597408,1074.91639,10000,0.5,0.01,0.5,1,0.1,1,1,1,1,20291007,100000
vary-pflu,Case control,0.500074009,0.087794377,10000,10000,0.5,0.02,0.5,1,0.1,1,1,1,1,20391007,100000
vary-pflu,Test negative,0.494168959,0.09403028,1149.75128,10000,0.5,0.02,0.5,1,0.1,1,1,1,1,20391007,100000
vary-pflu,Case control,0.504393888,0.071174748,10000,10000,0.5,0.03,0.5,1,0.1,1,1,1,1,20491007,100000
vary-pflu,Test negative,0.495668043,0.078635649,1225.00232,10000,0.5,0.03,0.5,1,0.1,1,1,1,1,20491007,100000
vary-pflu,Case control,0.507398751,0.061064598,10000,10000,0.5,0.04,0.5,1,0.1,1,1,1,1,20591007,100000
vary-pflu,Test negative,0.496245833,0.069462805,1299.86686,10000,0.5,0.04,0.5,1,0.1,1,1,1,1,20591007,100000
vary-pflu,Case control,0.510875666,0.054851067,10000,10000,0.5,0.05,0.5,1,0.1,1,1,1,1,20691007,100000
vary-pflu,Test negative,0.497183401,0.063918031,1374.95822,10000,0.5,0.05,0.5,1,0.1,1,1,1,1,20691007,100000
vary-pflu,Case control,0.513360293,0.049853267,10000,10000,0.5,0.06,0.5,1,0.1,1,1,1,1,20791007,100000
vary-pflu,Test negative,0.496857224,0.05983394,1450.07641,10000,0.5,0.06,0.5,1,0.1,1,1,1,1,20791007,100000
vary-pflu,Case control,0.516824379,0.04593046,10000,10000,0.5,0.07,0.5,1,0.1,1,1,1,1,20891007,100000
vary-pflu,Test negative,0.497789015,0.056444179,1524.98935,10000,0.5,0.07,0.5,1,0.1,1,1,1,1,20891007,100000
vary-pflu,Case control,0.519360239,0.042931979,10000,10000,0.5,0.08,0.5,1,0.1,1,1,1,1,20991007,100000
vary-pflu,Test negative,0.497590976,0.054070547,1599.83294,10000,0.5,0.08,0.5,1,0.1,1,1,1,1,20991007,100000
vary-pflu,Case control,0.522609925,0.040203942,10000,10000,0.5,0.09,0.5,1,0.1,1,1,1,1,21091007,100000
vary-pflu,Test negative,0.497901377,0.051807686,1675.12214,10000,0.5,0.09,0.5,1,0.1,1,1,1,1,21091007,100000
vary-pflu,Case control,0.525152609,0.038310322,10000,10000,0.5,0.1,0.5,1,0.1,1,1,1,1,21191007,100000
vary-pflu,Test negative,0.497730475,0.050508827,1749.97283,10000,0.5,0.1,0.5,1,0.1,1,1,1,1,21191007,100000
vary-prisk,Case control,0.491656078,0.127489956,10000,10000,0.5,0.1,0.5,0.1,0.1,1,1,1,1,21291007,100000
vary-prisk,Test negative,0.488229117,0.13204973,1074.97195,10000,0.5,0.1,0.5,0.1,0.1,1,1,1,1,21291007,100000
vary-prisk,Case control,0.499462311,0.087930553,10000,10000,0.5,0.1,0.5,0.2,0.1,1,1,1,1,21391007,100000
vary-prisk,Test negative,0.493499976,0.094144256,1150.12698,10000,0.5,0.1,0.5,0.2,0.1,1,1,1,1,21391007,100000
vary-prisk,Case control,0.504445431,0.071321234,10000,10000,0.5,0.1,0.5,0.3,0.1,1,1,1,1,21491007,100000
vary-prisk,Test negative,0.495659442,0.078753921,1224.88373,10000,0.5,0.1,0.5,0.3,0.1,1,1,1,1,21491007,100000
vary-prisk,Case control,0.507693205,0.061607866,10000,10000,0.5,0.1,0.5,0.4,0.1,1,1,1,1,21591007,100000
vary-prisk,Test negative,0.4963292,0.069981898,1299.91237,10000,0.5,0.1,0.5,0.4,0.1,1,1,1,1,21591007,100000
vary-prisk,Case control,0.510924327,0.054591291,10000,10000,0.5,0.1,0.5,0.5,0.1,1,1,1,1,21691007,100000
vary-prisk,Test negative,0.49714695,0.06378815,1375.00385,10000,0.5,0.1,0.5,0.5,0.1,1,1,1,1,21691007,100000
vary-prisk,Case control,0.513563536,0.04979613,10000,10000,0.5,0.1,0.5,0.6,0.1,1,1,1,1,21791007,100000
vary-prisk,Test negative,0.497032136,0.059705226,1449.84719,10000,0.5,0.1,0.5,0.6,0.1,1,1,1,1,21791007,100000
vary-prisk,Case control,0.516655063,0.046091883,10000,10000,0.5,0.1,0.5,0.7,0.1,1,1,1,1,21891007,100000
vary-prisk,Test negative,0.497482044,0.056727636,1524.93261,10000,0.5,0.1,0.5,0.7,0.1,1,1,1,1,21891007,100000
vary-prisk,Case control,0.51946335,0.042977588,10000,10000,0.5,0.1,0.5,0.8,0.1,1,1,1,1,21991007,100000
vary-prisk,Test negative,0.497526924,0.054114752,1600.038,10000,0.5,0.1,0.5,0.8,0.1,1,1,1,1,21991007,100000
vary-prisk,Case control,0.522165819,0.0402536,10000,10000,0.5,0.1,0.5,0.9,0.1,1,1,1,1,22091007,100000
vary-prisk,Test negative,0.497595172,0.05197008,1675.03518,10000,0.5,0.1,0.5,0.9,0.1,1,1,1,1,22091007,100000
small-sample,Case control,0.479661916,0.189464266,10000,10000,0.5,0.005,0.5,1,0.005,1,1,1,1,22191007,100000
small-sample,Test negative,0.455360251,0.262729846,87.49677,10000,0.5,0.005,0.5,1,0.005,1,1,1,1,22191007,100000
vary-pflu-miss,Case control,0.070356406,0.138330763,10000,10000,0.5,0.005,0.5,1,0.1,0.95,0.8,0.86,0.984,22291007,100000
vary-pflu-miss,Test negative,0.249446139,0.234817704,1037.43156,10000,0.5,0.005,0.5,1,0.1,0.95,0.8,0.86,0.984,22291007,100000
vary-pflu-miss,Case control,0.12828229,0.120324201,10000,10000,0.5,0.01,0.5,1,0.1,0.95,0.8,0.86,0.984,22391007,100000
vary-pflu-miss,Test negative,0.31126496,0.16491961,1075.10257,10000,0.5,0.01,0.5,1,0.1,0.95,0.8,0.86,0.984,22391007,100000
vary-pflu-miss,Case control,0.199571402,0.096813459,10000,10000,0.5,0.02,0.5,1,0.1,0.95,0.8,0.86,0.984,22491007,100000
vary-pflu-miss,Test negative,0.344743548,0.118625392,1149.94141,10000,0.5,0.02,0.5,1,0.1,0.95,0.8,0.86,0.984,22491007,100000
vary-pflu-miss,Case control,0.242705789,0.083110684,10000,10000,0.5,0.03,0.5,1,0.1,0.95,0.8,0.86,0.984,22591007,100000
vary-pflu-miss,Test negative,0.354790419,0.099497167,1224.96327,10000,0.5,0.03,0.5,1,0.1,0.95,0.8,0.86,0.984,22591007,100000
vary-pflu-miss,Case control,0.272095464,0.073298923,10000,10000,0.5,0.04,0.5,1,0.1,0.95,0.8,0.86,0.984,22691007,100000
vary-pflu-miss,Test negative,0.358975876,0.0881362,1300.17042,10000,0.5,0.04,0.5,1,0.1,0.95,0.8,0.86,0.984,22691007,100000
vary-pflu-miss,Case control,0.293407942,0.066760239,10000,10000,0.5,0.05,0.5,1,0.1,0.95,0.8,0.86,0.984,22791007,100000
vary-pflu-miss,Test negative,0.359791321,0.081461074,1375.23619,10000,0.5,0.05,0.5,1,0.1,0.95,0.8,0.86,0.984,22791007,100000
vary-pflu-miss,Case control,0.31009766,0.061389662,10000,10000,0.5,0.06,0.5,1,0.1,0.95,0.8,0.86,0.984,22891007,100000
vary-pflu-miss,Test negative,0.360114455,0.075760362,1449.95195,10000,0.5,0.06,0.5,1,0.1,0.95,0.8,0.86,0.984,22891007,100000
vary-pflu-miss,Case control,0.323251895,0.057370129,10000,10000,0.5,0.07,0.5,1,0.1,0.95,0.8,0.86,0.984,22991007,100000
vary-pflu-miss,Test negative,0.358878564,0.072388655,1524.92394,10000,0.5,0.07,0.5,1,0.1,0.95,0.8,0.86,0.984,22991007,100000
vary-pflu-miss,Case control,0.334118138,0.053659732,10000,10000,0.5,0.08,0.5,1,0.1,0.95,0.8,0.86,0.984,23091007,100000
vary-pflu-miss,Test negative,0.357681401,0.069076907,1600.08588,10000,0.5,0.08,0.5,1,0.1,0.95,0.8,0.86,0.984,23091007,100000
vary-pflu-miss,Case control,0.343631891,0.050741434,10000,10000,0.5,0.09,0.5,1,0.1,0.95,0.8,0.86,0.984,23191007,100000
vary-pflu-miss,Test negative,0.355901969,0.066400606,1675.01924,10000,0.5,0.09,0.5,1,0.1,0.95,0.8,0.86,0.984,23191007,100000
vary-pflu-miss,Case control,0.352122174,0.048164297,10000,10000,0.5,0.1,0.5,1,0.1,0.95,0.8,0.86,0.984,23291007,100000
vary-pflu-miss,Test negative,0.354138008,0.06418004,1749.93392,10000,0.5,0.1,0.5,1,0.1,0.95,0.8,0.86,0.984,23291007,100000
small-sample-miss,Case control,0.071167765,0.138419084,10000,10000,0.5,0.005,0.5,1,0.005,0.95,0.8,0.86,0.984,23391007,100000
small-sample-miss,Test negative,0.292993444,0.347793299,87.533,10000,0.5,0.005,0.5,1,0.005,0.95,0.8,0.86,0.984,23391007,100000
